NAME,TEAM,BYE,AGE,POS,POS_RANK,ADP
Patrick Mahomes,KC,10,28,QB,QB1,19.3
Deshaun Watson,HOU,7,28,QB,QB2,47.1
Aaron Rodgers,GB,6,40,QB,QB3,55.7
Baker Mayfield,CLE,5,29,QB,QB4,63.2
Matt Ryan,ATL,11,39,QB,QB5,69.2
Drew Brees,NO,11,45,QB,QB6,73.9
Carson Wentz,PHI,10,31,QB,QB7,74.6
Jared Goff,LAR,10,29,QB,QB8,81.5
Andrew Luck,IND,11,34,QB,QB9,87.8
Russell Wilson,SEA,5,35,QB,QB10,88.4
Cam Newton,CAR,7,35,QB,QB11,94.4
Lamar Jackson,BAL,13,27,QB,QB12,97.6
Jameis Winston,TB,5,30,QB,QB13,105.1
Ben Roethlisberger,PIT,6,42,QB,QB14,106.8
Kyler Murray,ARI,14,26,QB,QB15,110.9
Tom Brady,NE,11,46,QB,QB16,114.6
Philip Rivers,LAC,5,42,QB,QB17,116.1
Dak Prescott,DAL,7,30,QB,QB18,127.2
Kirk Cousins,MIN,13,35,QB,QB19,130.7
Mitchell Trubisky,CHI,13,29,QB,QB20,139.2
Josh Allen,BUF,13,28,QB,QB21,145.8
Jimmy Garoppolo,SF,9,32,QB,QB22,147.5
Derek Carr,LV,13,33,QB,QB23,157.4
Matthew Stafford,DET,9,36,QB,QB24,160.8
Sam Darnold,NYJ,7,27,QB,QB25,164.2
Jacoby Brissett,IND,11,31,QB,QB26,166.4
Andy Dalton,CIN,7,36,QB,QB27,210
Marcus Mariota,TEN,7,30,QB,QB28,213
Nick Foles,JAX,9,35,QB,QB29,217
Dwayne Haskins,WAS,14,27,QB,QB30,221
Joe Flacco,DEN,9,39,QB,QB31,225
Eli Manning,NYG,13,43,QB,QB32,245
Josh Rosen,MIA,10,27,QB,QB33,267
Case Keenum,WAS,14,36,QB,QB34,304
Ryan Fitzpatrick,MIA,10,41,QB,QB35,322
Daniel Jones,NYG,13,27,QB,QB36,342
Drew Lock,DEN,9,27,QB,QB37,432
AJ McCarron,HOU,7,33,QB,QB38,439
Taysom Hill,NO,11,33,QB,QB39,448
C.J. Beathard,SF,9,30,QB,QB40,486
DeShone Kizer,LV,13,28,QB,QB41,494
Blake Bortles,LAR,10,32,QB,QB42,504
Gardner Minshew II,JAX,9,28,QB,QB43,509
