NAME,TEAM,POS,GP,PASS_YDS,PASS_TDS,INT,RUSH_YDS,RUSH_TDS,REC,REC_YDS,REC_TDS,FPTSPG,TOTFPTS
Lamar Jackson,BAL,QB,15,3127,36,6,1206,7,0,0,0,27.7,415.7
Dak Prescott,DAL,QB,16,4902,30,11,277,3,0,0,0,21.1,337.8
Russell Wilson,SEA,QB,16,4110,31,5,342,3,0,0,0,20.5,328.6
Deshaun Watson,HOU,QB,15,3852,26,12,413,7,1,6,1,21.4,321
Jameis Winston,TB,QB,16,5109,33,30,250,1,0,0,0,19.1,305.4
Josh Allen,BUF,QB,16,3089,20,9,510,9,0,0,0,18,288.6
Patrick Mahomes,KC,QB,14,4031,26,5,218,2,0,0,0,20.5,287
Kyler Murray,ARI,QB,16,3722,20,12,544,4,0,0,0,17.8,285.3
Aaron Rodgers,GB,QB,16,4002,26,4,183,1,0,0,0,17.4,278.4
Carson Wentz,PHI,QB,16,4039,27,7,243,1,0,0,0,17.2,275.9
Matt Ryan,ATL,QB,15,4466,26,14,147,1,0,0,0,17.8,267.3
Tom Brady,NE,QB,16,4057,24,8,34,3,0,0,0,16.5,263.7
Jared Goff,LAR,QB,16,4638,22,16,40,2,0,0,0,15.5,247.5
Jimmy Garoppolo,SF,QB,16,3978,27,13,62,1,0,0,0,15.5,247.3
Kirk Cousins,MIN,QB,15,3603,26,6,63,1,0,0,0,16.3,244.4
Derek Carr,LV,QB,16,4054,21,8,82,2,0,0,0,15.3,244.4
Ryan Fitzpatrick,MIA,QB,15,3529,20,13,243,4,0,0,0,16.1,241.5
Philip Rivers,LAC,QB,16,4615,23,20,29,0,0,0,0,14.7,235.5
Gardner Minshew II,JAX,QB,14,3271,21,6,344,0,0,0,0,16.4,229.2
Baker Mayfield,CLE,QB,16,3827,22,21,141,3,0,0,0,14.3,229.2
Drew Brees,NO,QB,11,2979,27,4,-4,1,0,0,0,20.4,224.8
Ryan Tannehill,TEN,QB,12,2742,22,6,185,4,0,0,0,18.7,224.2
Jacoby Brissett,IND,QB,15,2942,18,6,228,4,1,2,0,14.5,217.7
Daniel Jones,NYG,QB,13,3027,24,12,279,2,0,0,0,16.5,215
Andy Dalton,CIN,QB,13,3494,16,14,73,4,1,-4,0,15.7,203.7
Mitchell Trubisky,CHI,QB,15,3138,17,10,193,2,0,0,0,13.5,202.8
Sam Darnold,NYJ,QB,13,3024,19,13,62,2,0,0,0,14.6,189.2
Kyle Allen,CAR,QB,13,3322,17,16,106,2,0,0,0,13.7,177.5
Matthew Stafford,DET,QB,8,2499,19,5,66,0,0,0,0,20.8,166.6
Mason Rudolph,PIT,QB,10,1765,13,9,42,0,0,0,0,10.9,108.8
Case Keenum,WAS,QB,10,1707,11,5,12,1,0,0,0,10.3,103.5
Taysom Hill,NO,QB,16,55,0,0,156,1,19,234,6,6.4,102.2
Teddy Bridgewater,NO,QB,9,1384,9,2,31,0,0,0,0,10.1,90.5
Marcus Mariota,TEN,QB,7,1203,7,2,129,0,0,0,0,12.1,85
Joe Flacco,DEN,QB,8,1822,6,5,20,0,0,0,0,10.6,84.9
Dwayne Haskins,WAS,QB,9,1365,7,7,101,0,0,0,0,8.5,76.7
Drew Lock,DEN,QB,5,1020,7,3,72,0,0,0,0,13.6,68
Jeff Driskel,DET,QB,3,685,4,4,151,1,1,6,0,19.4,58.1
David Blough,DET,QB,5,984,4,6,31,0,1,19,1,11.1,55.4
Eli Manning,NYG,QB,4,1042,6,5,7,0,0,0,0,13.6,54.4
Devlin Hodges,PIT,QB,8,1063,5,8,68,0,0,0,0,6.4,51.3
Matt Moore,KC,QB,6,659,4,0,-1,0,0,0,0,7,42.3
Nick Foles,JAX,QB,4,736,3,2,23,0,0,0,0,9.4,37.7
Matt Schaub,ATL,QB,6,580,3,1,-3,0,0,0,0,5.5,32.9
Brandon Allen,DEN,QB,3,515,3,2,39,0,0,0,0,10.8,32.5
Chase Daniel,CHI,QB,3,435,3,2,6,0,0,0,0,8.7,26
Ryan Finley,CIN,QB,3,474,2,2,77,0,0,0,0,8.2,24.7
Brian Hoyer,IND,QB,4,372,4,4,2,0,0,0,0,5.3,21.1
Josh Rosen,MIA,QB,6,567,1,5,13,0,0,0,0,3,18
AJ McCarron,HOU,QB,2,225,0,1,39,1,0,0,0,8.4,16.9
Christian McCaffrey,CAR,RB,16,0,0,0,1387,15,116,1005,4,29.4,471.2
Aaron Jones,GB,RB,16,0,0,0,1084,16,49,474,3,19.7,314.8
Ezekiel Elliott,DAL,RB,16,0,0,0,1357,12,54,420,2,19.5,311.7
Austin Ekeler,LAC,RB,16,0,0,0,557,3,92,993,8,19.3,309
Derrick Henry,TEN,RB,15,0,0,0,1540,16,18,206,2,19.6,294.6
Dalvin Cook,MIN,RB,14,0,0,0,1135,13,53,519,0,20.9,292.4
Leonard Fournette,JAX,RB,15,0,0,0,1152,3,76,522,0,17.3,259.4
Nick Chubb,CLE,RB,16,0,0,0,1494,8,36,278,0,15.9,255.2
Alvin Kamara,NO,RB,14,13,0,0,797,5,81,533,1,17.8,248.5
Saquon Barkley,NYG,RB,13,0,0,0,1003,6,52,438,2,18.8,244.1
Mark Ingram II,BAL,RB,15,0,0,0,1018,10,26,247,5,16.2,242.5
Chris Carson,SEA,RB,15,0,0,0,1230,7,37,266,2,15.5,232.6
Joe Mixon,CIN,RB,16,0,0,0,1137,5,35,287,3,14.1,225.4
Todd Gurley II,LAR,RB,15,0,0,0,857,12,31,207,2,14.6,219.4
Miles Sanders,PHI,RB,16,0,0,0,818,3,50,509,3,13.7,218.7
Le'Veon Bell,NYJ,RB,15,0,0,0,789,3,66,461,1,14.3,215
Kenyan Drake,ARI,RB,14,0,0,0,817,8,50,345,0,15.3,214.2
James White,NE,RB,15,35,0,0,263,1,72,645,5,13.3,200.2
Phillip Lindsay,DEN,RB,16,0,0,0,1011,7,35,196,0,12.4,197.7
Devonta Freeman,ATL,RB,14,0,0,0,656,2,59,410,4,14.1,197.6
Josh Jacobs,LV,RB,13,0,0,0,1150,7,20,166,0,14.7,191.6
Marlon Mack,IND,RB,14,0,0,0,1091,8,14,82,0,13,181.3
Melvin Gordon III,LAC,RB,12,0,0,0,612,8,42,296,1,15.1,180.8
David Montgomery,CHI,RB,16,0,0,0,889,6,25,185,1,10.7,170.4
Ronald Jones,TB,RB,16,0,0,0,724,6,31,309,0,10.4,166.3
Raheem Mostert,SF,RB,16,0,0,0,772,8,14,180,2,10.3,165.2
Tarik Cohen,CHI,RB,16,0,0,0,213,0,79,456,3,10.2,163.9
Latavius Murray,NO,RB,16,0,0,0,637,5,34,235,1,9.8,157.2
Duke Johnson,HOU,RB,16,0,0,0,410,2,44,410,3,9.6,154
Carlos Hyde,HOU,RB,16,0,0,0,1070,6,10,42,0,9.6,153.2
